>> myRootFailedAt(:,[3:4,6])
ans =
                  number              root               row in sideByside
  1.00000173284779e+000  1.00000173284779e+000  2.00000000000000e+000  4.00005000000000e+005
  1.00000173284346e+000  1.00000173284346e+000  2.00000000000000e+000  4.00006000000000e+005
  1.00000173283913e+000  1.00000173283913e+000  2.00000000000000e+000  4.00007000000000e+005
  1.00000173283480e+000  1.00000173283480e+000  2.00000000000000e+000  4.00008000000000e+005
  1.00000173283046e+000  1.00000173283046e+000  2.00000000000000e+000  4.00009000000000e+005
  1.00000173282613e+000  1.00000173282613e+000  2.00000000000000e+000  4.00010000000000e+005
  1.00000173282180e+000  1.00000173282180e+000  2.00000000000000e+000  4.00011000000000e+005
  1.00000173281747e+000  1.00000173281747e+000  2.00000000000000e+000  4.00012000000000e+005
  1.00000173281314e+000  1.00000173281314e+000  2.00000000000000e+000  4.00013000000000e+005
  1.00000173280880e+000  1.00000173280880e+000  2.00000000000000e+000  4.00014000000000e+005
  1.00000173280447e+000  1.00000173280447e+000  2.00000000000000e+000  4.00015000000000e+005
  1.00000173280014e+000  1.00000173280014e+000  2.00000000000000e+000  4.00016000000000e+005
  1.00000173279581e+000  1.00000173279581e+000  2.00000000000000e+000  4.00017000000000e+005
  1.00000173279148e+000  1.00000173279148e+000  2.00000000000000e+000  4.00018000000000e+005
